0,Title,Enrollment,Stars,Link,Website
71,Marketing in a Digital World,310000,4.7,https://www.coursera.org/,Coursera
72,Modern Art & Ideas,310000,4.7,https://www.coursera.org/,Coursera
73,Using Python to Access Web Data,310000,4.8,https://www.coursera.org/,Coursera
74,The Complete Front-End Web Development Course!,309061,4.4,https://www.udemy.com/course/front-end-web-development/,Udemy
75,How to Write an Essay,306787,4.5,https://www.edx.org/course/how-to-write-an-essay,edX
76,Gestión de Proyectos de Desarrollo,306286,4.6,https://www.edx.org/course/gestion-de-proyectos-de-desarrollo,edX
77,"React - The Complete Guide (incl Hooks, React Router, Redux)",304670,4.6,https://www.udemy.com/course/react-the-complete-guide-incl-redux/,Udemy
78,Introduction to Project Management,301793,4.6,https://www.edx.org/course/introduction-to-project-management,edX
79,生活英语听说 | Conversational English Skills,301585,4.2,https://www.edx.org/course/conversational-english-skills,edX
80,Developing Applications with Google Cloud Platform,300000,4.7,https://www.coursera.org/,Coursera
81,Security in Google Cloud Platform,300000,4.7,https://www.coursera.org/,Coursera
82,Programming for Everybody (Getting Started with Python),293864,4.6,https://www.edx.org/course/programming-for-everybody-getting-started-with-pyt,edX
83,Fundamentals of Graphic Design,290000,4.8,https://www.coursera.org/,Coursera
84,Machine Learning,290000,4.6,https://www.coursera.org/,Coursera
85,Networking in Google Cloud,290000,4.7,https://www.coursera.org/,Coursera
86,Excel: Fundamentos y herramientas,284279,4.7,https://www.edx.org/course/excel-fundamentos-y-herramientas,edX
87,Business Analytics,280000,4.6,https://www.coursera.org/,Coursera
88,Mastering Data Analysis in Excel,280000,4.2,https://www.coursera.org/,Coursera
89,Primeros Auxilios Psicológicos (PAP),280000,4.8,https://www.coursera.org/,Coursera
90,Technical Support Fundamentals,280000,4.8,https://www.coursera.org/,Coursera
91,Web Design for Everybody: Basics of Web Development & Coding,280000,4.7,https://www.coursera.org/,Coursera
92,Deep Learning A-Z™: Hands-On Artificial Neural Networks,278698,4.5,https://www.udemy.com/course/deeplearning/,Udemy
93,Data Science: Machine Learning,276209,4.6,https://www.edx.org/course/data-science-machine-learning,edX
94,The Complete Web Developer Course 2.0,273598,4.5,https://www.udemy.com/course/the-complete-web-developer-course-2/,Udemy
95,The Complete 2020 Web Development Bootcamp,270656,4.7,https://www.udemy.com/course/the-complete-web-development-bootcamp/,Udemy
96,Introduction to Java Programming – Part 1,270376,4.6,https://www.edx.org/course/introduction-to-java-programming-part-1,edX
97,An Introduction to Programming the Internet of Things (IOT),270000,4.6,https://www.coursera.org/,Coursera
98,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",270000,4.9,https://www.coursera.org/,Coursera
99,Introduction to Mathematical Thinking,270000,4.8,https://www.coursera.org/,Coursera
100,Introduction to Programming with MATLAB,270000,4.8,https://www.coursera.org/,Coursera
101,Introduction to Psychology,270000,4.9,https://www.coursera.org/,Coursera
102,Introductory Human Physiology,270000,4.7,https://www.coursera.org/,Coursera
103,Write Professional Emails in English,270000,4.7,https://www.coursera.org/,Coursera
104,Python for Data Science,266978,4.9,https://www.edx.org/course/python-for-data-science-2,edX
105,Artificial Intelligence (AI),265104,4.6,https://www.edx.org/course/artificial-intelligence-ai,edX
106,Using Python for Research,262183,4.9,https://www.edx.org/course/using-python-for-research,edX
107,Finance & Quantitative Modeling for Analysts,260000,4.5,https://www.coursera.org/,Coursera
108,Game Theory,260000,4.6,https://www.coursera.org/,Coursera
109,Greek and Roman Mythology,260000,4.8,https://www.coursera.org/,Coursera
110,Methods and Statistics in Social Sciences,260000,4.6,https://www.coursera.org/,Coursera
111,What is Data Science?,260000,4.7,https://www.coursera.org/,Coursera
112,CS50's Introduction to Artificial Intelligence with Python,258006,4.5,https://www.edx.org/course/cs50s-introduction-to-artificial-intelligence-with-python,edX
113,Principles of Biochemistry,257600,4.6,https://www.edx.org/course/principles-of-biochemistry,edX
114,Object Oriented Java Programming: Data Structures and Beyond,250000,4.7,https://www.coursera.org/,Coursera
115,"Programming Foundations with JavaScript, HTML and CSS",250000,4.6,https://www.coursera.org/,Coursera
116,HTML5 Coding Essentials and Best Practices,241287,4.6,https://www.edx.org/course/html5-coding-essentials-and-best-practices,edX
117,Learn Python Programming Masterclass,240790,4.5,https://www.udemy.com/course/python-the-complete-python-developer-course/,Udemy
118,Convolutional Neural Networks,240000,4.9,https://www.coursera.org/,Coursera
119,Design Thinking for Innovation,240000,4.6,https://www.coursera.org/,Coursera
120,Excel Skills for Business,240000,4.9,https://www.coursera.org/,Coursera
121,"HTML, CSS, and Javascript for Web Developers",240000,4.8,https://www.coursera.org/,Coursera
122,Machine Learning Foundations: A Case Study Approach,240000,4.6,https://www.coursera.org/,Coursera
123,Java Programming: Complete Beginner to Advanced,237481,4.2,https://www.udemy.com/course/java-programming-complete-beginner-to-advanced/,Udemy
