index,Title,Summary,Enrollment,Stars,Link,Website
144,Web Development Masterclass - Complete Certificate Course,Learn to setup virtual cloud servers and develop database-driven websites using the latest web technologies.,178916,4.3,https://www.udemy.com/course/web-development-masterclass-complete-certificate-course/,Udemy
145,Spring & Hibernate for Beginners (includes Spring Boot),"Spring 5: Learn Spring 5 Core, AOP, Spring MVC, Spring Security, Spring REST, Spring Boot 2, Thymeleaf, JPA & Hibernate",177053,4.6,https://www.udemy.com/course/spring-hibernate-tutorial/,Udemy
146,Scrum Certification Prep +Scrum Master+ Agile Scrum Training,Overview of Scrum Agile project management+common questions+tips to pass PSM scrum org ONLINE Scrum Master Certification,175168,4.4,https://www.udemy.com/course/scrum-certification/,Udemy
147,Executive Data Science,Johns Hopkins University,170000,4.5,https://www.coursera.org/,Coursera
148,Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,170000,4.8,https://www.coursera.org/,Coursera
149,How Things Work: An Introduction to Physics,University of Virginia,170000,4.8,https://www.coursera.org/,Coursera
150,Medical Neuroscience,Duke University,170000,4.9,https://www.coursera.org/,Coursera
151,Python for Data Science and AI,IBM,170000,4.6,https://www.coursera.org/,Coursera
152,Responsive Website Development and Design,"Goldsmiths, University of London",170000,4.5,https://www.coursera.org/,Coursera
153,TensorFlow in Practice,deeplearning.ai,170000,4.7,https://www.coursera.org/,Coursera
154,Learn to Code with Python 3!,Go from beginner to advanced with the Python programming language!,162731,4.1,https://www.udemy.com/course/python3-for-beginners/,Udemy
155,Business and Financial Modeling,University of Pennsylvania,160000,4.5,https://www.coursera.org/,Coursera
156,Introduction to Big Data,University of California San Diego,160000,4.6,https://www.coursera.org/,Coursera
157,Introduction to Probability and Data,Duke University,160000,4.7,https://www.coursera.org/,Coursera
158,Java Programming: Solving Problems with Software,Duke University,160000,4.6,https://www.coursera.org/,Coursera
159,Learn SQL Basics for Data Science,"University of California, Davis",160000,4.6,https://www.coursera.org/,Coursera
160,Photography Basics and Beyond: From Smartphone to DSLR,Michigan State University,160000,4.7,https://www.coursera.org/,Coursera
161,SQL for Data Science,"University of California, Davis",160000,4.6,https://www.coursera.org/,Coursera
162,Learning Python for Data Analysis and Visualization,"Learn python and how to use it to analyze,visualize and present data. Includes tons of sample code and hours of video!",158406,4.3,https://www.udemy.com/course/learning-python-for-data-analysis-and-visualization/,Udemy
163,Python for Absolute Beginners,Python 101 - learn Python programming from scratch with hands-on exercises in this beginner friendly Python tutorial!,153580,4.4,https://www.udemy.com/course/python-for-absolute-beginners-u/,Udemy
164,JavaScript: Understanding the Weird Parts,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",152004,4.7,https://www.udemy.com/course/understand-javascript/,Udemy
165,Practical Web Development: 22 Courses in 1,"Learn PHP, Apache, MySQL, MongoDB, Python, JavaScript, XML, JSON, HTML, CSS, Wordpress and more. With practical examples",150076,4.2,https://www.udemy.com/course/the-complete-web-development-course/,Udemy
166,Algorithms,Stanford University,150000,4.8,https://www.coursera.org/,Coursera
167,Applied Machine Learning in Python,University of Michigan,150000,4.6,https://www.coursera.org/,Coursera
168,Arizona State University TESOL,Arizona State University,150000,4.9,https://www.coursera.org/,Coursera
169,"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,150000,4.7,https://www.coursera.org/,Coursera
170,De-Mystifying Mindfulness,Universiteit Leiden,150000,4.8,https://www.coursera.org/,Coursera
171,Dog Emotion and Cognition,Duke University,150000,4.6,https://www.coursera.org/,Coursera
172,Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,150000,4.7,https://www.coursera.org/,Coursera
173,Fundamentos de Excel para Negocios,Universidad Austral,150000,4.7,https://www.coursera.org/,Coursera
174,Interaction Design,University of California San Diego,150000,4.5,https://www.coursera.org/,Coursera
175,Introduction to Classical Music,Yale University,150000,4.9,https://www.coursera.org/,Coursera
176,Introduction to Engineering Mechanics,Georgia Institute of Technology,150000,4.7,https://www.coursera.org/,Coursera
177,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,150000,4.7,https://www.coursera.org/,Coursera
178,Mathematics for Machine Learning,Imperial College London,150000,4.6,https://www.coursera.org/,Coursera
179,Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,150000,4.7,https://www.coursera.org/,Coursera
